Date,Close
2015-09-01,16284.7001953125
2015-10-01,17663.5390625
2015-11-01,17719.919921875
2015-12-01,17425.029296875
2016-01-01,16466.30078125
2016-02-01,16516.5
2016-03-01,17685.08984375
2016-04-01,17773.640625
2016-05-01,17787.19921875
2016-06-01,17929.990234375
2016-07-01,18432.240234375
2016-08-01,18400.880859375
2016-09-01,18308.150390625
2016-10-01,18142.419921875
2016-11-01,19123.580078125
2016-12-01,19762.599609375
2017-01-01,19864.08984375
2017-02-01,20812.240234375
2017-03-01,20663.220703125
2017-04-01,20940.509765625
2017-05-01,21008.650390625
2017-06-01,21349.630859375
2017-07-01,21891.119140625
2017-08-01,21948.099609375
2017-09-01,22405.08984375
2017-10-01,23377.240234375
2017-11-01,24272.349609375
2017-12-01,24719.220703125
2018-01-01,26149.390625
2018-02-01,25029.19921875
2018-03-01,24103.109375
2018-04-01,24163.150390625
2018-05-01,24415.83984375
2018-06-01,24271.41015625
2018-07-01,25415.189453125
2018-08-01,25964.8203125
2018-09-01,26458.310546875
2018-10-01,25115.759765625
2018-11-01,25538.4609375
2018-12-01,23327.4609375
2019-01-01,24999.669921875
2019-02-01,25916.0
2019-03-01,25928.6796875
2019-04-01,26592.91015625
2019-05-01,24815.0390625
2019-06-01,26599.9609375
2019-07-01,26864.26953125
2019-08-01,26403.279296875
2019-09-01,26916.830078125
2019-10-01,27046.23046875
2019-11-01,28051.41015625
2019-12-01,28538.439453125
2020-01-01,28256.029296875
2020-02-01,25409.359375
2020-03-01,21917.16015625
2020-04-01,24345.720703125
2020-05-01,25383.109375
2020-06-01,25812.880859375
2020-07-01,26428.3203125
2020-08-01,28430.05078125
2020-09-01,27781.69921875
2020-10-01,26501.599609375
2020-11-01,29638.640625
2020-12-01,30606.48046875
2021-01-01,29982.619140625
2021-02-01,30932.369140625
2021-03-01,32981.55078125
2021-04-01,33874.8515625
2021-05-01,34529.44921875
2021-06-01,34502.51171875
2021-07-01,34935.46875
2021-08-01,35360.73046875
2021-09-01,33843.921875
2021-10-01,35819.55859375
2021-11-01,34483.71875
2021-12-01,36338.30078125
2022-01-01,35131.859375
2022-02-01,33892.6015625
2022-03-01,34678.3515625
2022-04-01,32977.2109375
2022-05-01,32990.12109375
2022-06-01,30775.4296875
2022-07-01,32845.12890625
2022-08-01,31510.4296875
2022-09-01,28725.509765625
2022-10-01,32732.94921875
2022-11-01,34589.76953125
2022-12-01,33147.25
2023-01-01,34086.0390625
2023-02-01,33826.69140625
