Date,Price
2015-09-01,1.350786688734447
2015-10-01,0.6858121897138929
2015-11-01,1.058541941291151
2015-12-01,0.8750039976447704
2016-01-01,0.9463133430749894
2016-02-01,2.221883059355513
2016-03-01,7.560157049617909
2016-04-01,11.63607180334684
2016-05-01,8.832454372832895
2016-06-01,13.857937834861247
2016-07-01,12.329645963731734
2016-08-01,10.968397852276404
2016-09-01,12.002877477501157
2016-10-01,13.269827224677638
2016-11-01,10.792187379279612
2016-12-01,8.439785438702646
2017-01-01,8.064789989459687
2017-02-01,10.700989418222473
2017-03-01,17.168029711638418
2017-04-01,50.42578760723248
2017-05-01,76.84617780144701
2017-06-01,221.82807122254022
2017-07-01,262.47807335859795
2017-08-01,227.08056705038587
2017-09-01,386.3430570009356
2017-10-01,299.6748890236153
2017-11-01,292.33053872865435
2017-12-01,469.863479570669
2018-01-01,776.080330355968
2018-02-01,1106.1381723552724
2018-03-01,846.3652117960792
2018-04-01,395.79638095782116
2018-05-01,662.732735837356
2018-06-01,571.7271134994469
2018-07-01,449.43004507185094
2018-08-01,432.3501179219696
2018-09-01,282.22317870221497
2018-10-01,232.78138524562493
2018-11-01,198.6390488336609
2018-12-01,113.4028831522645
2019-01-01,131.45872465603802
2019-02-01,106.33599581366398
2019-03-01,135.4906837644075
2019-04-01,141.586389044902
2019-05-01,160.74469184721738
2019-06-01,268.12603920482644
2019-07-01,292.83887601724456
2019-08-01,218.61308553620958
2019-09-01,172.07296929356409
2019-10-01,179.75716197925505
2019-11-01,182.75570124695298
2019-12-01,151.73585404476006
2020-01-01,129.18638529253852
2020-02-01,179.22910385240368
2020-03-01,218.34835692985286
2020-04-01,133.2364468438201
2020-05-01,205.55600541063674
2020-06-01,232.33100303896677
2020-07-01,225.59281496891896
2020-08-01,346.00350607288686
2020-09-01,435.6930232991007
2020-10-01,359.59898475085777
2020-11-01,385.8445887975079
2020-12-01,612.2637856122055
2021-01-01,738.6169381520413
2021-02-01,1317.0474362291777
2021-03-01,1416.661552837565
2021-04-01,1915.8325358462234
2021-05-01,2776.70371169874
2021-06-01,2708.429865793973
2021-07-01,2279.354161419647
2021-08-01,2541.674599365905
2021-09-01,3440.5623358869034
2021-10-01,3013.4932320320772
2021-11-01,4292.04047236198
2021-12-01,4637.121616831405
2022-01-01,3686.4025423019352
2022-02-01,2689.2208672204492
2022-03-01,2919.294962425658
2022-04-01,3283.3028425717257
2022-05-01,2738.1741359527714
2022-06-01,1944.078766836179
2022-07-01,1057.6309990608017
2022-08-01,1682.011373614746
2022-09-01,1552.5629662281337
2022-10-01,1329.1460320707963
2022-11-01,1572.979514885975
2022-12-01,1298.94077037352
2023-01-01,1196.6130648084502
2023-02-01,1586.5395765836909
