Date,Price
2015-11-01,0.7324024340406533
2015-12-01,0.5304765068540468
2016-01-01,0.437422339446187
2016-02-01,0.7158181578743424
2016-03-01,1.0835116104005538
2016-04-01,0.9895588384168958
2016-05-01,0.9639563257911872
2016-06-01,0.9019832282326594
2016-07-01,0.8726240794482719
2016-08-01,0.8447116093559875
2016-09-01,0.8100966540172261
2016-10-01,0.7790917827977218
2016-11-01,0.7621713297043152
2016-12-01,0.7470904059846357
2017-01-01,0.7262110557238198
2017-02-01,0.7033568511575574
2017-03-01,0.6871434458208333
2017-04-01,0.7684350970664777
2017-05-01,0.748761312982145
2017-06-01,0.8008927465729585
2017-07-01,0.7836108011939469
2017-08-01,0.7747594984755263
2017-09-01,0.7600568810368583
2017-10-01,0.7552103704490013
2017-11-01,0.7445434097890129
2017-12-01,0.7313911278365058
2018-01-01,0.7194384456531713
2018-02-01,0.7064926071190155
2018-03-01,0.703784645031924
2018-04-01,0.7055289150156796
2018-05-01,0.7070008019158746
2018-06-01,0.7060557224087098
2018-07-01,0.7124239169266074
2018-08-01,0.6916060265452295
2018-09-01,0.5801482480306341
2018-10-01,0.5818664839095955
2018-11-01,0.5795939920018596
2018-12-01,0.5870965282703929
2019-01-01,0.5845505639854343
2019-02-01,0.5861615644619597
2019-03-01,0.5861032044933513
2019-04-01,0.5865180892744104
2019-05-01,0.5823035884237735
2019-06-01,0.5827643766116168
2019-07-01,0.5810692550441129
2019-08-01,0.5875485910543785
2019-09-01,0.5878779166127107
2019-10-01,0.48663470825384836
2019-11-01,0.48110816858437966
2019-12-01,0.3468628231781586
2020-01-01,0.3474424396042122
2020-02-01,0.35198303404328884
2020-03-01,0.33145646235002446
2020-04-01,0.33717370442243194
2020-05-01,0.3499577695144707
2020-06-01,0.3339552030035014
2020-07-01,0.312568413333596
2020-08-01,0.31816890104439804
2020-09-01,0.3178932949315878
2020-10-01,0.30258500511465597
2020-11-01,0.2778415012299174
2020-12-01,0.2948664454995285
2021-01-01,0.2922821554848791
2021-02-01,0.3203186759216842
2021-03-01,0.3098690240000268
2021-04-01,0.30885409274042314
2021-05-01,0.31063009453236584
2021-06-01,0.29363627038981477
2021-07-01,0.29889704654624977
2021-08-01,0.29245095299831875
2021-09-01,0.2939931287645069
2021-10-01,0.29767947971409925
2021-11-01,0.3020114185569278
2021-12-01,0.28618160211278665
2022-01-01,0.2927712400805426
2022-02-01,0.29354551157576575
2022-03-01,0.28670556835463373
2022-04-01,0.2862161747272128
2022-05-01,0.2907682049334985
2022-06-01,0.2958386877070724
2022-07-01,0.3106535045140489
2022-08-01,0.3188598306815542
2022-09-01,0.32037767832899444
2022-10-01,0.310038961016144
2022-11-01,0.29998319110589966
2022-12-01,0.30437869227003134
2023-01-01,0.30523751768872304
2023-02-01,0.29725423830594677
