Date,Price
2015-09-01,227.1631
2015-10-01,237.7358
2015-11-01,324.9970999999999
2015-12-01,363.4499999999999
2016-01-01,434.4269999999999
2016-02-01,371.041
2016-03-01,431.371
2016-04-01,416.754
2016-05-01,452.592
2016-06-01,539.1679999999999
2016-07-01,677.7099999999999
2016-08-01,605.7469999999995
2016-09-01,571.59
2016-10-01,614.0598845176643
2016-11-01,729.2049999999999
2016-12-01,753.0550000000001
2017-01-01,998.05
2017-02-01,986.5728903454353
2017-03-01,1227.4771489660905
2017-04-01,1085.2529999999997
2017-05-01,1408.445
2017-06-01,2436.0363
2017-07-01,2439.82055973389
2017-08-01,2737.76379241919
2017-09-01,4863.19304868405
2017-10-01,4347.57873545332
2017-11-01,6714.78898671902
2017-12-01,10995.7235531179
2018-01-01,14093.6068305274
2018-02-01,10114.495086226
2018-03-01,10346.664931035
2018-04-01,6975.27531402076
2018-05-01,9198.18950997327
2018-06-01,7460.16694986577
2018-07-01,6366.49946751097
2018-08-01,7738.249304586212
2018-09-01,7027.631279401852
2018-10-01,6626.037956098487
2018-11-01,6366.720109554257
2018-12-01,4009.6895798259993
2019-01-01,3692.5315655246986
2019-02-01,3431.943637864456
2019-03-01,3815.6076075249844
2019-04-01,4103.521738549332
2019-05-01,5292.803974562054
2019-06-01,8575.646353354166
2019-07-01,10888.097181679726
2019-08-01,10062.996285663326
2019-09-01,9607.289264302583
2019-10-01,8271.290855465355
2019-11-01,9151.824594459767
2019-12-01,7556.397585815771
2020-01-01,7195.153895430029
2020-02-01,9308.060285564778
2020-03-01,8552.989118581636
2020-04-01,6421.70541388854
2020-05-01,8610.63580374089
2020-06-01,9466.961781429516
2020-07-01,9149.721996758017
2020-08-01,11325.5515272739
2020-09-01,11672.324104943627
2020-10-01,10770.881347466415
2020-11-01,13778.637638352931
2020-12-01,19609.52143957559
2021-01-01,29022.41839530417
2021-02-01,33064.78676701507
2021-03-01,44970.163459946736
2021-04-01,58817.3738884188
2021-05-01,57828.511814425874
2021-06-01,37340.6792659422
2021-07-01,35171.486304850056
2021-08-01,41754.16660435275
2021-09-01,47335.42029920565
2021-10-01,43859.32614724109
2021-11-01,61471.86846276259
2021-12-01,57011.28047424234
2022-01-01,46319.65108805251
2022-02-01,38555.53446121157
2022-03-01,43225.404677435734
2022-04-01,45528.40715313835
2022-05-01,37820.61176529208
2022-06-01,31865.749621173167
2022-07-01,19608.397493423083
2022-08-01,23379.70052509082
2022-09-01,20023.55444491251
2022-10-01,19476.92659600407
2022-11-01,20494.60120983709
2022-12-01,17186.502572066118
2023-01-01,16540.693624776803
2023-02-01,23137.323554088376
