Date,Value
2017-06-01,0.39143866457418663
2017-08-01,0.39209826585684837
2017-09-01,0.39941720720031626
2017-11-01,0.3585801570053434
2017-12-01,0.34045953785750793
2018-01-01,0.31079696768289056
2018-02-01,0.35282565660838605
2018-03-01,0.34050826281901614
2018-05-01,0.35286647999338344
2018-06-01,0.3584084965471419
2018-08-01,0.35503007528636404
2018-10-01,0.35647321594604664
2018-11-01,0.34745234880398523
2019-01-01,0.36071912750632684
2019-02-01,0.352455241852031
2019-03-01,0.3416418043718502
2019-04-01,0.3314412959553994
2019-05-01,0.3239509013251664
2019-07-01,0.35078418868893463
2019-08-01,0.3441499968800195
2019-10-01,0.3431467168661724
2019-11-01,0.33525739531612075
2020-01-01,0.33485043684116916
2020-04-01,0.3305449475504832
2020-05-01,0.33041178071689337
2020-06-01,0.32399568208567303
2020-07-01,0.31890534326593317
2020-09-01,0.3191871423662789
2020-10-01,0.3170439151538343
2020-12-01,0.3391277463076816
2021-01-01,0.32523629070903554
2021-02-01,0.3252303404660281
2021-03-01,0.30961563821967686
2021-04-01,0.31006232281982743
2021-06-01,0.30043706937553183
2021-07-01,0.2970406753323848
2021-09-01,0.3092947785656022
2021-10-01,0.31019438206826433
2021-11-01,0.30790230766933446
2021-12-01,0.3042982368506557
2022-02-01,0.31285016985290903
2022-03-01,0.30743011260777187
2022-04-01,0.30556669800548264
2022-06-01,0.30875665491141885
2022-07-01,0.3174424361912789
2022-08-01,0.31891097562666026
2022-09-01,0.3211231352414098
2022-11-01,0.3203396587510189
2022-12-01,0.29628514329413064
2023-02-01,0.2992779505372703
